'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'';'';'';'';'';'2.2';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.7';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.7';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.8';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.8';'';'';'0,00';'Talvikki';'Laitala';'Ylivieska';'KESK'
'';'';'';'';'';'2.6';'';'';'0,00';'Jenni';'Kiiskinen';'Ylöjärvi';'VIHR'
'JHL';'';'';'';'';'2.7';'';'';'850,00';'Johanna';'Airikka';'Ylöjärvi';'VAS'
'Ypäjän kokoomus';'3036722-5';'';'';'';'2.6';'';'';'250,00';'Markku';'Saastamoinen';'Ypäjä';'KOK'
